id,link,operation,size,dorms,toilets,garage,price,additional_costs,scraping_date,type,street,neighborhood,city,latitude,longitude
2790786382,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-130m2-aluguel-RS11996-id-2790786382/,renting,130,2,3,1,11996,2427,2025-04-01,Apartamento,Rua da Consolação,Cerqueira César,São Paulo,0.0,0.0
2792669542,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-72m2-venda-RS1500100-id-2792669542/,renting,72,1,2,1,7350,1750,2025-04-01,Apartamento,Rua Pássaros e Flores,Jardim das Acácias,São Paulo,0.0,0.0
2732587814,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-zona-sul-sao-paulo-com-garagem-406m2-venda-RS8200000-id-2732587814/,renting,406,0,8,12,48671,74809,2025-04-01,Sala/Conjunto,Rua Castilho,Brooklin Paulista,São Paulo,0.0,0.0
2792088931,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-51m2-aluguel-RS3200-id-2792088931/,renting,51,1,1,1,3200,900,2025-04-01,Apartamento,Rua Doutor Jesuíno Maciel,Campo Belo,São Paulo,0.0,0.0
2792188813,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-guarani-z-sul-sao-paulo-com-garagem-55m2-aluguel-RS1800-id-2792188813/,renting,55,2,1,1,1800,55,2025-04-01,Casa,Rua Edgard Pereira,Vila Guarani (Z Sul),São Paulo,0.0,0.0
2792162060,https://www.vivareal.com.br/imovel/sala-comercial-bela-vista-sao-paulo-30m2-venda-RS450000-id-2792162060/,renting,30,0,2,0,2200,1030,2025-04-01,Sala/Conjunto,0,Bela Vista,São Paulo,0.0,0.0
2792302038,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-pereira-cerca-sao-paulo-com-garagem-48m2-aluguel-RS1500-id-2792302038/,renting,48,2,1,1,1500,488,2025-04-01,Apartamento,0,Vila Pereira Cerca,São Paulo,0.0,0.0
2791973167,https://www.vivareal.com.br/imovel/casa-2-quartos-cupece-sao-paulo-90m2-aluguel-RS2200-id-2791973167/,renting,90,2,2,0,2200,135,2025-04-01,Casa,Rua João Protezek,Cupecê,São Paulo,0.0,0.0
2792072676,https://www.vivareal.com.br/imovel/sobrado-3-quartos-instituto-de-previdencia-sao-paulo-com-garagem-190m2-aluguel-RS3400-id-2792072676/,renting,190,3,3,2,3400,219,2025-04-01,Casa,Rua Engenheiro Artur de Miranda,Instituto de Previdência,São Paulo,0.0,0.0
2792083577,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cambuci-sao-paulo-com-garagem-130m2-aluguel-RS4500-id-2792083577/,renting,130,3,4,2,4500,1000,2025-04-01,Casa,0,Cambuci,São Paulo,0.0,0.0
0,0,renting,8730,0,10,72,218350,22224,2025-04-01,Prédio/Edificio inteiro,Rua Doutor Virgílio do Nascimento,Brás,São Paulo,0.0,0.0
2792335630,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-cruzeiro-do-sul-sao-paulo-com-garagem-47m2-aluguel-RS1800-id-2792335630/,renting,47,2,1,1,1800,30,2025-04-01,Apartamento,Rua Líbero Ancona Lopez,Parque Cruzeiro do Sul,São Paulo,0.0,0.0
2792187247,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sumarezinho-sao-paulo-44m2-aluguel-RS3400-id-2792187247/,renting,44,1,1,0,3400,624,2025-04-01,Apartamento,Rua Paulistânia,Sumarezinho,São Paulo,0.0,0.0
0,0,renting,5493,0,0,83,300100,14735,2025-04-01,Prédio/Edificio inteiro,Rua Bela Cintra,Consolação,São Paulo,0.0,0.0
2792287834,https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-sao-paulo-50m2-aluguel-RS2480-id-2792287834/,renting,50,1,1,0,2480,765,2025-04-01,Apartamento,Rua Frei Caneca,Consolação,São Paulo,0.0,0.0
2792322116,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-gustavo-sao-paulo-com-garagem-82m2-aluguel-RS2200-id-2792322116/,renting,82,2,1,2,2200,700,2025-04-01,Casa,Rua Elvira,Vila Gustavo,São Paulo,0.0,0.0
2792182023,https://www.vivareal.com.br/imovel/apartamento-2-quartos-quarta-parada-sao-paulo-85m2-aluguel-RS2150-id-2792182023/,renting,85,2,1,0,2150,294,2025-04-01,Apartamento,Avenida Álvaro Ramos,Quarta Parada,São Paulo,0.0,0.0
2792178616,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-vargas-sao-paulo-com-garagem-61m2-aluguel-RS2300-id-2792178616/,renting,61,3,2,1,2300,800,2025-04-01,Apartamento,Rua Francisco Duarte Graça,Cidade Vargas,São Paulo,0.0,0.0
0,0,renting,620,0,8,6,75100,4719,2025-04-01,Prédio/Edificio inteiro,Rua Joaquim de Almeida,Mirandópolis,São Paulo,0.0,0.0
0,0,renting,2360,0,0,51,150100,23438,2025-04-01,Prédio/Edificio inteiro,Rua Vergueiro,Vila Mariana,São Paulo,0.0,0.0
0,0,renting,2703,0,0,60,216100,1219,2025-04-01,Prédio/Edificio inteiro,Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,São Paulo,0.0,0.0
